Random Item Generation By Treasure Level 1 - 6								
								
Item #	Pic File	1	2	3	4	5	6	
271	item182	0	0	0	0	2	1	Rejuvenation
272	item180	0	0	0	2	1	0	Essence of Might
273	item180	0	0	0	2	1	0	Essence of Intellect
274	item180	0	0	0	2	1	0	Essence of Personality
275	item180	0	0	0	2	1	0	Essence of Endurance
276	item180	0	0	0	2	1	0	Essence of Accuracy
277	item180	0	0	0	2	1	0	Essence of Speed
278	item180	0	0	0	2	1	0	Essence of Luck
279	item180	0	0	0	2	1	0	Potion of Doom 
280	item182	0	0	0	0	2	1	Divine Boost 
281	item182	0	0	0	0	2	1	Divine Protection
282	item182	0	0	0	0	2	1	Divine Transcendence
283	item182	0	0	0	0	2	1	Potion of the Gods 
284	item182	0	0	0	0	2	1	Pure Fire Resistance
285	item182	0	0	0	0	2	1	Pure Air Resistance
286	item182	0	0	0	0	2	1	Pure Water Resistance
287	item182	0	0	0	0	2	1	Pure Earth Resistance
288	item182	0	0	0	0	2	1	Pure Mind Resistance
289	item182	0	0	0	0	2	1	Pure Body Resistance
290	Placeholder	0	0	0	0	0	0	_potion/reagent290
291	Placeholder	0	0	0	0	0	0	_potion/reagent291
292	Placeholder	0	0	0	0	0	0	_potion/reagent292
293	Placeholder	0	0	0	0	0	0	_potion/reagent293
294	Placeholder	0	0	0	0	0	0	_potion/reagent294
295	Placeholder	0	0	0	0	0	0	_potion/reagent295
296	Placeholder	0	0	0	0	0	0	_potion/reagent296
297	Placeholder	0	0	0	0	0	0	_potion/reagent297
298	Placeholder	0	0	0	0	0	0	_potion/reagent298
299	Placeholder	0	0	0	0	0	0	_potion/reagent299
300	item199	2	2	0	0	0	0	Torch Light
301	item199	2	2	0	0	0	0	Fire Bolt
302	item199	2	2	0	0	0	0	Fire Resistance
303	item199	2	2	0	0	0	0	Fire Aura
304	item200	0	2	2	0	0	0	Haste
305	item200	0	2	2	0	0	0	Fireball
306	item200	0	2	2	0	0	0	Fire Spike
307	item202	0	0	2	1	0	0	Immolation
308	item202	0	0	2	1	0	0	Meteor Shower
309	item202	0	0	2	1	0	0	Inferno
310	item201	0	0	0	1	1	0	Incinerate
311	item199	2	2	0	0	0	0	Wizard Eye
312	item199	2	2	0	0	0	0	Feather Fall
313	item199	2	2	0	0	0	0	Air Resistance
314	item199	2	2	0	0	0	0	Sparks
315	item200	0	2	2	0	0	0	Jump
316	item200	0	2	2	0	0	0	Shield
317	item200	0	2	2	0	0	0	Lightning Bolt
318	item202	0	0	2	1	0	0	Invisibility
319	item202	0	0	2	1	0	0	Implosion
320	item202	0	0	2	1	0	0	Fly
321	item201	0	0	0	1	1	0	Starburst
322	item199	2	2	0	0	0	0	Awaken
323	item199	2	2	0	0	0	0	Poison Spray
324	item199	2	2	0	0	0	0	Water Resistance
325	item199	2	2	0	0	0	0	Ice Bolt
326	item200	0	2	2	0	0	0	Water Walk
327	item200	0	2	2	0	0	0	Recharge Item
328	item200	0	2	2	0	0	0	Acid Burst
329	item202	0	0	2	1	0	0	Enchant Item
330	item202	0	0	2	1	0	0	Town Portal
331	item202	0	0	2	1	0	0	Ice Blast
332	item201	0	0	0	1	1	0	Lloyd's Beacon
333	item199	2	2	0	0	0	0	Stun
334	item199	2	2	0	0	0	0	Slow
335	item199	2	2	0	0	0	0	Earth Resistance
336	item199	2	2	0	0	0	0	Deadly Swarm
337	item200	0	2	2	0	0	0	Stone Skin
338	item200	0	2	2	0	0	0	Blades
339	item200	0	2	2	0	0	0	Stone to Flesh
340	item202	0	0	2	1	0	0	Rock Blast
341	item202	0	0	2	1	0	0	Telekinesis
342	item202	0	0	2	1	0	0	Death Blossom
343	item201	0	0	0	1	1	0	Mass Distortion
344	item199	2	2	0	0	0	0	Detect Life
345	item199	2	2	0	0	0	0	Bless
346	item199	2	2	0	0	0	0	Fate
347	item199	2	2	0	0	0	0	Turn Undead
348	item200	0	2	2	0	0	0	Remove Curse
349	item200	0	2	2	0	0	0	Preservation
350	item200	0	2	2	0	0	0	Heroism
351	item202	0	0	2	1	0	0	Spirit Lash
352	item202	0	0	2	1	0	0	Raise Dead
353	item202	0	0	2	1	0	0	Shared Life
354	item201	0	0	0	1	1	0	Resurrection
355	item199	2	2	0	0	0	0	Telepathy
356	item199	2	2	0	0	0	0	Remove Fear
357	item199	2	2	0	0	0	0	Mind Resistance
358	item199	2	2	0	0	0	0	Mind Blast
359	item200	0	2	2	0	0	0	Charm
360	item200	0	2	2	0	0	0	Cure Paralysis
361	item200	0	2	2	0	0	0	Berserk
362	item202	0	0	2	1	0	0	Mass Fear
363	item202	0	0	2	1	0	0	Cure Insanity
364	item202	0	0	2	1	0	0	Psychic Shock
365	item201	0	0	0	1	1	0	Enslave
366	item199	2	2	0	0	0	0	Cure Weakness
367	item199	2	2	0	0	0	0	Heal
368	item199	2	2	0	0	0	0	Body Resistance
369	item199	2	2	0	0	0	0	Harm
370	item200	0	2	2	0	0	0	Regeneration
371	item200	0	2	2	0	0	0	Cure Poison
372	item200	0	2	2	0	0	0	Hammerhands
373	item202	0	0	2	1	0	0	Cure Disease
374	item202	0	0	2	1	0	0	Protection from Magic
375	item202	0	0	2	1	0	0	Flying Fist
376	item201	0	0	0	1	1	0	Power Cure
377	item199	0	0	1	2	0	0	Light Bolt
378	item199	0	0	1	2	0	0	Destroy Undead
379	item199	0	0	1	2	0	0	Dispel Magic
380	item199	0	0	1	2	0	0	Paralyze
381	item200	0	0	0	2	1	0	Summon Wisp
382	item200	0	0	0	2	1	0	Day of the Gods
383	item200	0	0	0	2	1	0	Prismatic Light
384	item202	0	0	0	0	2	1	Day of Protection
385	item202	0	0	0	0	2	1	Hour of Power
386	item202	0	0	0	0	2	1	Sunray
387	item201	0	0	0	0	0	2	Divine Intervention
388	item199	0	0	1	2	0	0	Reanimate
389	item199	0	0	1	2	0	0	Toxic Cloud
390	item199	0	0	1	2	0	0	Vampiric Weapon
391	item199	0	0	1	2	0	0	Shrinking Ray
392	item200	0	0	0	2	1	0	Shrapmetal
393	item200	0	0	0	2	1	0	Control Undead
394	item200	0	0	0	2	1	0	Pain Reflection
395	item202	0	0	0	0	2	1	Dark Grasp
396	item202	0	0	0	0	2	1	Dragon Breath
397	item202	0	0	0	0	2	1	Armageddon
398	item201	0	0	0	0	0	2	Souldrinker
399	null	0	0	0	0	0	0	null
400	item207	0	0	0	0	0	0	Torch Light
401	item207	0	0	0	0	0	0	Fire Bolt
402	item207	0	0	0	0	0	0	Fire Resistance
403	item207	0	0	0	0	0	0	Fire Aura
404	item208	0	0	2	0	0	0	Haste
405	item208	0	0	2	0	0	0	Fireball
406	item208	0	0	2	0	0	0	Fire Spike
407	item210	0	0	0	1	0	0	Immolation
408	item210	0	0	0	1	0	0	Meteor Shower
409	item210	0	0	0	1	0	0	Inferno
410	item209	0	0	0	0	1	0	Incinerate
411	item207	0	0	0	0	0	0	Wizard Eye
412	item207	0	0	0	0	0	0	Feather Fall
413	item207	0	0	0	0	0	0	Air Resistance
414	item207	0	0	0	0	0	0	Sparks
415	item208	0	0	2	0	0	0	Jump
416	item208	0	0	2	0	0	0	Shield
417	item208	0	0	2	0	0	0	Lightning Bolt
418	item210	0	0	0	1	0	0	Invisibility
419	item210	0	0	0	1	0	0	Implosion
420	item210	0	0	0	1	0	0	Fly
421	item209	0	0	0	0	1	0	Starburst
422	item207	0	0	0	0	0	0	Awaken
423	item207	0	0	0	0	0	0	Poison Spray
424	item207	0	0	0	0	0	0	Water Resistance
425	item207	0	0	0	0	0	0	Ice Bolt
426	item208	0	0	2	0	0	0	Water Walk
427	item208	0	0	2	0	0	0	Recharge Item
428	item208	0	0	2	0	0	0	Acid Burst
429	item210	0	0	0	1	0	0	Enchant Item
430	item210	0	0	0	1	0	0	Town Portal
431	item210	0	0	0	1	0	0	Ice Blast
432	item209	0	0	0	0	1	0	Lloyd's Beacon
433	item207	0	0	0	0	0	0	Stun
434	item207	0	0	0	0	0	0	Slow
435	item207	0	0	0	0	0	0	Earth Resistance
436	item207	0	0	0	0	0	0	Deadly Swarm
437	item208	0	0	2	0	0	0	Stone Skin
438	item208	0	0	2	0	0	0	Blades
439	item208	0	0	2	0	0	0	Stone to Flesh
440	item210	0	0	0	1	0	0	Rock Blast
441	item210	0	0	0	1	0	0	Telekinesis
442	item210	0	0	0	1	0	0	Death Blossom
443	item209	0	0	0	0	1	0	Mass Distortion
444	item207	0	0	0	0	0	0	Detect Life
445	item207	0	0	0	0	0	0	Bless
446	item207	0	0	0	0	0	0	Fate
447	item207	0	0	0	0	0	0	Turn Undead
448	item208	0	0	2	0	0	0	Remove Curse
449	item208	0	0	2	0	0	0	Preservation
450	item208	0	0	2	0	0	0	Heroism
451	item210	0	0	0	1	0	0	Spirit Lash
452	item210	0	0	0	1	0	0	Raise Dead
453	item210	0	0	0	1	0	0	Shared Life
454	item209	0	0	0	0	1	0	Resurrection
455	item207	0	0	0	0	0	0	Telepathy
456	item207	0	0	0	0	0	0	Remove Fear
457	item207	0	0	0	0	0	0	Mind Resistance
458	item207	0	0	0	0	0	0	Mind Blast
459	item208	0	0	2	0	0	0	Charm
460	item208	0	0	2	0	0	0	Cure Paralysis
461	item208	0	0	2	0	0	0	Berserk
462	item210	0	0	0	1	0	0	Mass Fear
463	item210	0	0	0	1	0	0	Cure Insanity
464	item210	0	0	0	1	0	0	Psychic Shock
465	item209	0	0	0	0	1	0	Enslave
466	item207	0	0	0	0	0	0	Cure Weakness
467	item207	0	0	0	0	0	0	Heal
468	item207	0	0	0	0	0	0	Body Resistance
469	item207	0	0	0	0	0	0	Harm
470	item208	0	0	2	0	0	0	Regeneration
471	item208	0	0	2	0	0	0	Cure Poison
472	item208	0	0	2	0	0	0	Hammerhands
473	item210	0	0	0	1	0	0	Cure Disease
474	item210	0	0	0	1	0	0	Protection from Magic
475	item210	0	0	0	1	0	0	Flying Fist
476	item209	0	0	0	0	1	0	Power Cure
477	item207	0	0	0	1	0	0	Light Bolt
478	item207	0	0	0	1	0	0	Destroy Undead
479	item207	0	0	0	0	1	0	Dispel Magic
480	item207	0	0	0	0	1	0	Paralyze
481	item208	0	0	0	0	1	0	Summon Wisp
482	item208	0	0	0	0	1	0	Day of the Gods
483	item208	0	0	0	0	0	1	Prismatic Light
484	item210	0	0	0	0	0	1	Day of Protection
485	item210	0	0	0	0	0	1	Hour of Power
486	item210	0	0	0	0	0	1	Sunray
487	item209	0	0	0	0	0	1	Divine Intervention
488	item207	0	0	0	1	0	0	Reanimate
489	item207	0	0	0	1	0	0	Toxic Cloud
490	item207	0	0	0	0	1	0	Vampiric Weapon
491	item207	0	0	0	0	1	0	Shrinking Ray
492	item208	0	0	0	0	1	0	Shrapmetal
493	item208	0	0	0	0	1	0	Control Undead
494	item208	0	0	0	0	0	1	Pain Reflection
495	item210	0	0	0	0	0	1	Dark Grasp
496	item210	0	0	0	0	0	1	Dragon Breath
497	item210	0	0	0	0	0	1	Armageddon
498	item209	0	0	0	0	0	1	Souldrinker
499	Placeholder	0	0	0	0	0	0	book 499
500	item235	0	0	0	0	0	1	Elsenrail
501	item296	0	0	0	0	0	1	Glomenthal
502	item236	0	0	0	0	0	1	Terminus
503	item237	0	0	0	0	0	1	Judicious Measure
504	item240	0	0	0	0	0	1	Elderaxe
505	item241	0	0	0	0	0	1	Volcano
506	item045	0	0	0	0	0	1	Wyrm Spitter
507	item243	0	0	0	0	0	1	Guardian
508	item239	0	0	0	0	0	1	Foulfang
509	item249	0	0	0	0	0	1	Scepter of Kings
510	item247	0	0	0	0	0	1	Breaker
511	item250	0	0	0	0	0	1	Staff of the Swamp
512	item245	0	0	0	0	0	1	Longseeker
513	item251	0	0	0	0	0	1	Serendine's Preservation
514	item252	0	0	0	0	0	1	Glomenmail
515	item253	0	0	0	0	0	1	Supreme Plate
516	item254	0	0	0	0	0	0	Eclipse
517	item261	0	0	0	0	0	1	Fleetfingers
518	item262	0	0	0	0	0	1	Herald's Boots
519	item140	0	0	0	0	0	1	Ring of Planes
520	item256	0	0	0	0	0	1	Drogg's Helm
521	item258	0	0	0	0	0	1	Crown of Final Dominion
522	item260	0	0	0	0	0	1	Archangel Wings
523	item234	0	0	0	0	0	1	Snake
524	item004	0	0	0	0	0	1	Havoc
525	item010	0	0	0	0	0	1	Finality
526	item248	0	0	0	0	0	1	Hell's Cleaver
527	item242	0	0	0	0	0	1	Spiritslayer
528	item244	0	0	0	0	0	1	Trident of Rulership
529	item238	0	0	0	0	0	1	Blade of Mercy
530	item083	0	0	0	0	0	1	Staff of Elements
531	item059	0	0	0	0	0	1	Tournament Bow
532	item246	0	0	0	0	0	1	Lightning Crossbow
533	item251	0	0	0	0	0	1	Last Stage Cuirass
534	item255	0	0	0	0	0	1	Herondale's Lost Shield
535	item141	0	0	0	0	0	1	Ring of Fusion
536	item115	0	0	0	0	0	1	Lucky Hat
537	item121	0	0	0	0	0	1	Berserker Belt
538	item068	0	0	0	0	0	0	Mace of the Sun
539	item045	0	0	0	0	0	0	Ebonest
540	item010	0	0	0	0	0	0	Sword of Whistlebone
541	item040	0	0	0	0	0	0	Axe of Balthazar
542	item060	0	0	0	0	0	0	Noblebone Bow
543	Placeholder	0	0	0	0	0	0	artifact 543
544	Placeholder	0	0	0	0	0	0	artifact 544
545	Placeholder	0	0	0	0	0	0	artifact 545
546	Placeholder	0	0	0	0	0	0	artifact 546
547	Placeholder	0	0	0	0	0	0	artifact 547
548	Placeholder	0	0	0	0	0	0	artifact 548
549	Placeholder	0	0	0	0	0	0	artifact 549
550	Placeholder	0	0	0	0	0	0	artifact 550
551	Placeholder	0	0	0	0	0	0	artifact 551
552	Placeholder	0	0	0	0	0	0	artifact 552
553	Placeholder	0	0	0	0	0	0	artifact 553
554	Placeholder	0	0	0	0	0	0	artifact 554
555	Placeholder	0	0	0	0	0	0	artifact 555
556	Placeholder	0	0	0	0	0	0	artifact 556
