Soundtype/Voicesetid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Insane2	5037	5137	5237	5337	5437	5537	5637	5737	5837	5937	6037	6137	6237	6337	6437	6537	6637	6737	6837	6937	7037	7137	7237	7337	7437	7537	7637	7737	7837	7937	7437	41068	40913	41137	40993	40461	40683	0	0	0	0	0	0	0	0	0	0	0	0	40326	40604	40387	40758	40532	40837	41494	41645	41570	41723	0	0	0	0	0	0	8037	8137	8237	8337	8437	8537	8637	8737	8837	8937	9037	9137	0	0
Poison1	5038	5138	5238	5338	5438	5538	5638	5738	5838	5938	6038	6138	6238	6338	6438	6538	6638	6738	6838	6938	7038	7138	7238	7338	7438	7538	7638	7738	7838	7938	7438	41069	40914	41138	40994	40462	40684	43576	43176	43676	43276	44076	43376	44576	43476	44176	44276	0	44476	40327	40605	40388	40759	40533	40838	41495	41646	41571	41724	41802	41874	41204	41276	41353	41424	8038	8138	8238	8338	8438	8538	8638	8738	8838	8938	9038	9138	9238	9338
Poison2	5039	5139	5239	5339	5439	5539	5639	5739	5839	5939	6039	6139	6239	6339	6439	6539	6639	6739	6839	6939	7039	7139	7239	7339	7439	7539	7639	7739	7839	7939	7439	41069	40914	41138	40995	40462	40684	0	0	0	0	0	0	0	0	0	0	0	0	40327	40605	40388	40759	40533	40838	41495	41646	41571	41724	0	0	0	0	0	0	8039	8139	8239	8339	8439	8539	8639	8739	8839	8939	9039	9139	0	0
Cursed1	5040	5140	5240	5340	5440	5540	5640	5740	5840	5940	6040	6140	6240	6340	6440	6540	6640	6740	6840	6940	7040	7140	7240	7340	7440	7540	7640	7740	7840	7940	7440	41070	40915	41139	40996	40463	40685	43580	43180	43680	43280	44080	43380	44580	43480	44180	44280	44380	44480	40328	40606	40389	40760	40534	40839	41496	41647	41572	41725	41803	41875	41205	41277	41354	41425	8040	8140	8240	8340	8440	8540	8640	8740	8840	8940	9040	9140	9240	9340
Cursed2	5041	5141	5241	5341	5441	5541	5641	5741	5841	5941	6041	6141	6241	6341	6441	6541	6641	6741	6841	6941	7041	7141	7241	7341	7441	7541	7641	7741	7841	7941	7441	41070	40915	41139	40997	40463	40685	0	0	0	0	0	0	0	0	0	0	0	0	40328	40606	40389	40760	40534	40839	41496	41647	41572	41725	0	0	0	0	0	0	8041	8141	8241	8341	8441	8541	8641	8741	8841	8941	9041	9141	0	0
Fall1	5042	5142	5242	5342	5442	5542	5642	5742	5842	5942	6042	6142	6242	6342	6442	6542	6642	6742	6842	6942	7042	7142	7242	7342	7442	7542	7642	7742	7842	7942	7442	41071	40916	41140	40998	40464	40686	43574	43174	43674	43274	44074	43374	44574	43474	44174	44274	44374	44474	40329	40607	40390	40761	40535	40840	41497	41648	41573	41726	41804	41876	41206	41278	41355	41426	8042	8142	8242	8342	8442	8542	8642	8742	8842	8942	9042	9142	9242	9342
Fall2	5043	5143	5243	5343	5443	5543	5643	5743	5843	5943	6043	6143	6243	6343	6443	6543	6643	6743	6843	6943	7043	7143	7243	7343	7443	7543	7643	7743	7843	7943	7443	41071	40916	41140	40999	40464	40686	0	0	0	0	0	0	0	0	0	0	0	0	40329	40607	40390	40761	40535	40840	41497	41648	41573	41726	0	0	0	0	0	0	8043	8143	8243	8343	8443	8543	8643	8743	8843	8943	9043	9143	0	0
CantRestHere1	5044	5144	5244	5344	5444	5544	5644	5744	5844	5944	6044	6144	6244	6344	6444	6544	6644	6744	6844	6944	7044	7144	7244	7344	7444	7544	7644	7744	7844	7944	7444	41072	40917	41141	41000	40465	40687	43536	43136	43636	43236	44036	43336	44536	43436	44136	44236	44336	44436	40330	40608	40391	40762	40536	40841	41498	41649	41574	41727	41805	41877	41207	41279	41356	41427	8044	8144	8244	8344	8444	8544	8644	8744	8844	8944	9044	9144	9244	9344
CantRestHere2	5045	5145	5245	5345	5445	5545	5645	5745	5845	5945	6045	6145	6245	6345	6445	6545	6645	6745	6845	6945	7045	7145	7245	7345	7445	7545	7645	7745	7845	7945	7445	41072	40917	41141	41001	40466	40688	0	0	0	0	0	0	0	0	0	0	0	0	40331	40609	40392	40763	40536	40842	41498	41649	41575	41727	0	0	0	0	0	0	8045	8145	8245	8345	8445	8545	8645	8745	8845	8945	9045	9145	0	0
NeedMoreGold1	5046	5146	5246	5346	5446	5546	5646	5746	5846	5946	6046	6146	6246	6346	6446	6546	6646	6746	6846	6946	7046	7146	7246	7346	7446	7546	7646	7746	7846	7946	7446	41073	40918	41142	41002	40467	40689	43586	43186	43686	43286	44086	43386	44586	43486	44186	44286	44386	44486	40332	40610	40393	40764	40537	40843	41499	41650	41576	41728	41806	41878	41208	41280	41357	41428	8046	8146	8246	8346	8446	8546	8646	8746	8846	8946	9046	9146	9246	9346
NeedMoreGold2	5047	5147	5247	5347	5447	5547	5647	5747	5847	5947	6047	6147	6247	6347	6447	6547	6647	6747	6847	6947	7047	7147	7247	7347	7447	7547	7647	7747	7847	7947	7447	41073	40918	41142	41002	40468	40690	0	0	0	0	0	0	0	0	0	0	0	0	40333	40611	40394	40765	40537	40844	41500	41651	41577	41728	41807	41879	0	41281	41358	41429	8047	8147	8247	8347	8447	8547	8647	8747	8847	8947	9047	9147	9247	9347
InventoryFull1	5048	5148	5248	5348	5448	5548	5648	5748	5848	5948	6048	6148	6248	6348	6448	6548	6648	6748	6848	6948	7048	7148	7248	7348	7448	7548	7648	7748	7848	7948	7448	41074	40919	41143	41003	40469	40691	43540	43140	43640	43240	44040	43340	44540	43440	44140	44240	44340	44440	40334	40612	40395	40766	40538	40845	41501	41652	41578	41729	41808	41880	41209	41282	41359	41430	8048	8148	8248	8348	8448	8548	8648	8748	8848	8948	9048	9148	9248	9348
InventoryFull2	5049	5149	5249	5349	5449	5549	5649	5749	5849	5949	6049	6149	6249	6349	6449	6549	6649	6749	6849	6949	7049	7149	7249	7349	7449	7549	7649	7749	7849	7949	7449	41075	40920	41143	41004	40470	40692	0	0	0	0	0	0	0	0	0	0	0	0	40334	40613	40396	40767	40539	40846	41501	41653	41578	41730	41809	0	0	41283	0	0	8049	8149	8249	8349	8449	8549	8649	8749	8849	8949	9049	9149	9249	0
PotionMixed1	5050	5150	5250	5350	5450	5550	5650	5750	5850	5950	6050	6150	6250	6350	6450	6550	6650	6750	6850	6950	7050	7150	7250	7350	7450	7550	7650	7750	7850	7950	7450	41076	40921	41144	41005	40471	40693	43504	43104	43604	43204	44004	43304	44504	43404	44104	44204	44304	44404	40335	40614	40397	40768	40540	40847	41502	41654	41579	41731	41810	41881	41210	41284	41360	41431	8050	8150	8250	8350	8450	8550	8650	8750	8850	8950	9050	9150	9250	9350
PotionMixed2	5051	5151	5251	5351	5451	5551	5651	5751	5851	5951	6051	6151	6251	6351	6451	6551	6651	6751	6851	6951	7051	7151	7251	7351	7451	7551	7651	7751	7851	7951	7451	41077	40922	41145	41006	40472	40694	43542	43142	43642	43242	44042	43342	44542	43442	44142	44242	44342	44442	40336	40615	40398	40769	40541	40848	41503	41655	41580	41732	41811	41882	41211	41285	41361	41432	8051	8151	8251	8351	8451	8551	8651	8751	8851	8951	9051	9151	9251	9351
FailMixing1	5052	5152	5252	5352	5452	5552	5652	5752	5852	5952	6052	6152	6252	6352	6452	6552	6652	6752	6852	6952	7052	7152	7252	7352	7452	7552	7652	7752	7852	7952	7452	41078	40923	41146	41007	40473	40695	43522	43122	43622	43222	44022	43322	44522	43422	44122	44222	44322	44422	40337	40616	40399	40770	40542	40849	41504	41656	41581	41733	41812	41883	41212	41286	41362	41433	8052	8152	8252	8352	8452	8552	8652	8752	8852	8952	9052	9152	9252	9352
FailMixing2	5053	5153	5253	5353	5453	5553	5653	5753	5853	5953	6053	6153	6253	6353	6453	6553	6653	6753	6853	6953	7053	7153	7253	7353	7453	7553	7653	7753	7853	7953	7453	41079	40924	41146	41008	40474	40696	0	0	0	0	0	0	0	0	0	0	0	0	40338	40617	40400	40771	40543	40850	41505	41657	41581	41734	41813	41884	41213	41287	41363	0	8053	8153	8253	8353	8453	8553	8653	8753	8853	8953	9053	9153	9253	9353
NeedAKey1	5054	5154	5254	5354	5454	5554	5654	5754	5854	5954	6054	6154	6254	6354	6454	6554	6654	6754	6854	6954	7054	7154	7254	7354	7454	7554	7654	7754	7854	7954	7454	41080	40925	41147	41009	40475	40697	43544	43144	43644	43244	44044	43344	44544	43444	44144	44244	44344	44444	40339	40618	40401	40772	40544	40851	41506	41658	41582	41735	41814	41885	41214	41288	41364	41434	8054	8154	8254	8354	8454	8554	8654	8754	8854	8954	9054	9154	9254	9354
NeedAKey2	5055	5155	5255	5355	5455	5555	5655	5755	5855	5955	6055	6155	6255	6355	6455	6555	6655	6755	6855	6955	7055	7155	7255	7355	7455	7555	7655	7755	7855	7955	7455	41080	40925	41147	41010	40476	40698	0	0	0	0	0	0	0	0	0	0	0	0	40339	40619	40402	40773	40544	40852	41506	41658	41582	41735	0	0	0	0	0	0	8055	8155	8255	8355	8455	8555	8655	8755	8855	8955	9055	9155	0	0
LearnSpell1	5056	5156	5256	5356	5456	5556	5656	5756	5856	5956	6056	6156	6256	6356	6456	6556	6656	6756	6856	6956	7056	7156	7256	7356	7456	7556	7656	7756	7856	7956	7456	41081	40926	41148	41011	40477	40699	43538	43138	43638	43238	44038	43338	44538	43438	44138	44238	44338	44438	40340	40620	40403	40774	40545	40853	41507	41659	41583	41736	41815	41886	41215	41289	41365	41435	8056	8156	8256	8356	8456	8556	8656	8756	8856	8956	9056	9156	9256	9356
